"Title","Developer(s)","Release date","","","Options","Ref."
"LocoRoco Cocoreccho","Japan Studio","September 20, 2007","September 20, 2007","September 20, 2007","","[93]"
"Lollipop Chainsaw","Grasshopper Manufacture","June 14, 2012","June 15, 2012","June 12, 2012","","[citation needed]"
"London 2012","Sega","Unreleased","June 29, 2012","June 26, 2012","M","[94]"
"Lone Survivor: The Director's Cut","superflat games","Unreleased","September 25, 2013","September 24, 2013","",""
"The Lord of the Rings: Aragorn's Quest","TT Fusion / Headstrong Games","Unreleased","October 29, 2010","September 14, 2010","M","[95]"
"The Lord of the Rings: Conquest","Pandemic Studios","Unreleased","January 16, 2009","January 13, 2009","","[96]"
"The Lord of the Rings: War in the North","Snowblind Studios","Unreleased","November 9, 2011","November 1, 2011","","[97]"
"Los 40 Principales: Karaoke Party","Le Cortex","Unreleased","November 14, 2014","Unreleased","","[98]"
"Lost Dimension","Lancarse","August 7, 2014","July 28, 2014","July 28, 2015","","[citation needed]"
"Lost Planet: Extreme Condition","Capcom / K2 LLC","February 21, 2008","February 29, 2008","February 26, 2008","","[99]"
"Lost Planet 2","Capcom","May 20, 2010","May 11, 2010","May 11, 2010","","[100]"
"Lost Planet 3","Spark Unlimited","August 29, 2013","August 30, 2013","August 27, 2013","","[101]"
"Lost: Via Domus","Ubisoft Montreal","Unreleased","February 29, 2008","February 26, 2008","","[102]"
"Lucha Libre AAA 2010: Héroes del Ring","Immersion Software & Graphics","Unreleased","Unreleased","October 12, 2010","","[103]"
"Luftrausers","Vlambeer","February 19, 2015","March 19, 2014","March 18, 2014","",""
"Lumines Supernova","Q Entertainment","December 18, 2008","February 5, 2009","December 23, 2008","","[104]"
"Machi-ing Maker 4","D3 Publisher","December 23, 2011","Unreleased","Unreleased",""
"Machinarium","Amanita Design","December 24, 2014","September 6, 2012","October 9, 2012","",""
"Macross Trial Frontier","Artdink","February 28, 2010","Unreleased","Unreleased","","[citation needed]"
"Macross 30: Voices across the Galaxy","Artdink","February 28, 2013","Unreleased","Unreleased","","[citation needed]"
"Mad Dog II: The Lost Gold","Digital Leisure","Unreleased","May 15, 2013","April 16, 2013","",""
"Mad Dog McCree","Digital Leisure","Unreleased","January 23, 2013","January 22, 2013","",""
"Mad Riders","Techland","Unreleased","May 30, 2012","May 29, 2012","",""
"Madagascar: Escape 2 Africa","Toys For Bob","Unreleased","November 28, 2008","November 4, 2008","","[105]"
"Madagascar 3: The Video Game","Toys For Bob","Unreleased","June 5, 2012","June 5, 2012","","[106]"
"Madagascar Kartz","Sidhe","Unreleased","November 6, 2009","October 27, 2009","","[107]"
"Madden NFL 07","EA Tiburon","April 26, 2007","July 30, 2007","November 17, 2006","","[108]"
"Madden NFL 08","EA Tiburon","Unreleased","October 5, 2007","August 14, 2007","","[109]"
"Madden NFL 09","EA Tiburon","September 25, 2008","August 15, 2008","August 12, 2008","","[110]"
"Madden NFL 10","EA Tiburon","Unreleased","August 18, 2009","August 14, 2009","","[111]"
"Madden NFL 11","EA Tiburon","Unreleased","August 13, 2010","August 10, 2010","","[112]"
"Madden NFL 12","EA Tiburon","Unreleased","September 2, 2011","August 30, 2011","","[113]"
"Madden NFL 13","EA Tiburon","Unreleased","August 31, 2012","August 28, 2012","","[114]"
"Madden NFL 15","EA Tiburon","Unreleased","August 29, 2014","August 26, 2014","","[citation needed]"
"Madden NFL 16","EA Tiburon","Unreleased","August 25, 2015","August 25, 2015","","[citation needed]"
"Madden NFL 17","EA Tiburon","Unreleased","August 23, 2016","August 23, 2016","","[citation needed]"
"Madden NFL 25","EA Tiburon","Unreleased","August 27, 2013","August 27, 2013","","[115]"
"Madden NFL Arcade","EA Sports","December 3, 2009","November 26, 2009","November 24, 2009","",""
"Mafia II","2K Czech","Unreleased","August 27, 2010","August 24, 2010","","[116]"
"MAG","Zipper Interactive","Unreleased","January 29, 2010","January 26, 2010","M","[117]"
"Magic Orbz","Creat Studios","Unreleased","January 15, 2009","January 15, 2009","","[118]"
"Magic: The Gathering – Duels of the Planeswalkers","Stainless Games","Unreleased","December 22, 2010","November 23, 2010","",""
"Magic: The Gathering – Duels of the Planeswalkers 2012","Stainless Games","July 6, 2011","June 15, 2011","June 14, 2011","",""
"Magic: The Gathering – Duels of the Planeswalkers 2013","Stainless Games","June 21, 2012","June 20, 2012","June 19, 2012","",""
"Magic: The Gathering – Duels of the Planeswalkers 2014","Stainless Games","June 27, 2013","June 26, 2013","June 25, 2013","",""
"Magical Beat","Arc System Works","August 5, 2014","Unreleased","Unreleased","",""
"Magrunner: Dark Pulse","Frogwares","Unreleased","October 23, 2013","October 22, 2013","",""
"Magus","Aksys Games","Unreleased","February 25, 2014","June 4, 2014","","[119]"
"Mahjong ★ Dream C Club","Tamsoft","April 5, 2012","Unreleased","Unreleased","","[120]"
"Mahjong ★ Dream C Club Zero","Tamsoft","January 27, 2011","Unreleased","Unreleased","","[citation needed]"
"Mahjong Haoh: Dankyuu Battle 3","NCS","October 31, 2013","Unreleased","Unreleased","","[121]"
"Mahjong Kakutou Club","Konami","November 16, 2006","Unreleased","Unreleased","","[122]"
"Mahjong Taikai IV","Koei","November 22, 2006","Unreleased","Unreleased","","[123]"
