"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"EyeToy Play: Astro Zoo","London Studio","Sony Computer Entertainment","2007-11-02EU","","✔",""
"EyeToy Play: Hero","London Studio","Sony Computer Entertainment","2008-11-13AU","","✔",""
"EyeToy Play: PomPom Party","London Studio","Sony Computer Entertainment","2008-11-12EU","","✔",""
"EyeToy Play: Sports","London Studio","Sony Computer Entertainment","2006-11-03EU","","✔",""
"F: Fanatic","PrincessSoft","PrincessSoft","2004-07-29JP","✔",""
"F1 2001","EA Sports","Electronic Arts","2001-09-20JP","✔","✔","✔"
"F1 2002","EA Sports","Electronic Arts","2002-06-06JP","✔","✔","✔"
"F1 Career Challenge","EA Sports","Electronic Arts","2003-06-24JP","✔","✔","✔"
"F1 Championship Season 2000","EA Sports","Electronic Arts","2000-12-15EU","✔","✔","✔"
"F1 Racing Championship","Ubisoft","Video System","2001-03-16EU","✔","✔",""
"The Fairly OddParents: Breakin' Da Rules","Blitz Games","THQ","2003-11-03NA","","","✔"
"The Fairly OddParents: Shadow Showdown","Blitz Games","THQ","2004-09-08NA","","✔","✔"
"Falling Stars","Ivolgamus","IvolgamusEU, Agetec Inc.NA","2007-08-31EU","","✔","✔"
"Fallout: Brotherhood of Steel","Interplay Entertainment","Interplay EntertainmentJP, NA, Avalon InteractiveEU","2004-01-14NA","✔","✔","✔"
"Fame Academy: Dance Edition•Star AcademyFR","Monte Cristo","UbisoftUKNobilus FranceFR","2003-11-21FR, UK","","✔FR, UK",""
"Family Board Games","Mere Mortals","Liquid Games","2006-01-27EU","","✔",""
"Family Feud","Atomic Planet","Global Star Software","2006-10-12NA","","","✔"
"Family Guy","High Voltage Software","2K Games","2006-10-02NA","","✔","✔"
"Fantastic 4","7 Studios","Activision","2005-06-27NA","","✔","✔"
"Fantastic Fortune 2","GeneX","GeneX","2003-06-26JP","✔","",""
"Fantastic Fortune 2: Triple Star","GeneX","GeneX","2005-03-03JP","✔","",""
"Fantastic Four: Rise of the Silver Surfer","7 Studios","Take-Two Interactive","2007-06-15NA","","✔","✔"
"Fantasy Battle Kouryaku Box","Koei","Koei","2004-06-24JP","✔","",""
"The Fantasy Renai Adventure: Kanojo no Densetsu•Simple 2000 Series Vol. 71: The Fantasy Renai Adventure: Kanojo no DensetsuJP","S-Neo","D3 Publisher","2005-02-17JP","✔","",""
"FantaVision","Sony Computer Entertainment","Sony Computer Entertainment","2000-03-09JP","✔","✔","✔"
"The Fast and the Furious","Eutechnyx","Namco Bandai Games","2006-09-26NA","","✔","✔"
"Fatal Frame•ZeroJP•Project ZeroEU","Tecmo","TecmoJP, NA, Wanadoo EditionEU","2001-12-13JP","✔","✔","✔"
"Fatal Frame II: Crimson Butterfly•Zero: Akai ChouJP•Project Zero II: Crimson ButterflyPAL","Tecmo","TecmoJP, NA, UbisoftPAL","2003-11-27JP","✔","✔","✔"
"Fatal Frame III: The Tormented•Zero: Shisei no KoeJP•Project Zero 3: The TormentedEU","Tecmo","TecmoJP, NA, Take-Two InteractiveEU","2005-07-28NA","✔","✔","✔"
"Fatal Fury: Battle Archives Vol. 1•Garou Densetsu Battle Archive 1JP","SNK Playmore","SNK PlaymoreJP, NA, Ignition EntertainmentPAL","2006-07-20JP","✔","✔","✔"
"Fatal Fury: Battle Archives Vol. 2•Garou Densetsu Battle Archive 2JP","SNK Playmore","SNK Playmore","2007-02-22JP","✔","✔","✔"
"Fate/Stay Night : Realta Nua","Type-Moon","Kadokawa Games","2007-04-19JP","✔","",""
"Fate/Unlimited Codes","Eighting","Capcom","2008-12-18JP","✔","",""
"The Fear","Digital Frontier","Enix Corporation","2001-07-26JP","✔","",""
"Ferrari Challenge Trofeo Pirelli","Eutechnyx","ActivisionNA, System 3PAL","2008-08-26NA","","✔","✔"
"Ferrari F355 Challenge","Sega AM2","Sega","2002-09-26JP","✔","✔","✔"
"Festa!! Hyper Girls Party","KID","KID","2006-06-29JP","✔","",""
"Fever 6","ICS","ICS","2002-11-07JP","✔","",""
"Fever 7","ICS","ICS","2003-03-20JP","✔","",""
"Fever 8","ICS","ICS","2003-08-28JP","✔","",""
"Fever 9","ICS","ICS","2003-12-25JP","✔","",""
"FIFA 14: Legacy Edition","EA Canada","Electronic Arts","2013-09-24NA","","✔","✔"
"FIFA 2001•FIFA 2001: World ChampionshipJP","EA Canada","EA Sports","2000-11-21EU","✔","✔","✔"
"FIFA Soccer 06•FIFA 06EU","EA Canada","EA Sports","2005-09-30EU","","✔","✔"
"FIFA Soccer 07•FIFA 07EU•FIFA Soccer 07KO","EA Canada","EA Sports","2006-09-25AU","✔KO","✔","✔"
"FIFA Soccer 08•FIFA 08PAL","EA Canada","EA Sports","2007-09-27AU","","✔","✔"
"FIFA Soccer 09•FIFA 09KO, PAL•FIFA 09: World Class SoccerJP","EA Canada","EA Sports","2008-10-02AU","✔JP, KO","✔","✔"
"FIFA Soccer 10•FIFA 10PAL•FIFA 10: World Class SoccerJP","HB Studios","EA Sports","2009-10-01AU","✔","✔","✔"
"FIFA Soccer 11•FIFA 11PAL","HB Studios","EA Sports","2010-09-28NA","","✔","✔"
"FIFA Soccer 12•FIFA 12PAL","EA Canada","EA Sports","2011-09-27NA","","✔","✔"
"FIFA Soccer 13•FIFA 13PAL","EA Canada","EA Sports","2012-09-25NA","","✔","✔"
"FIFA Soccer 2002•FIFA 2002PAL•FIFA 2002: Road to FIFA World CupJP","EA Canada","EA Sports","2001-11-01NA","✔","✔","✔"
"FIFA Soccer 2003•FIFA Football 2003PAL•FIFA 2003JP","EA Canada","EA Sports","2002-10-25PAL","✔JP, KO","✔","✔"
"FIFA Soccer 2004•FIFA Football 2004PAL•FIFA 2004JP","EA Canada","EA Sports","2003-10-24EU","✔","✔","✔"
"FIFA Soccer 2005•FIFA Football 2005PAL","EA Canada","EA Sports","2004-10-08EU","","✔","✔"
"FIFA Soccer World Championship","Electronic Arts","Electronic Arts Victor","2000-05-25JP","✔","",""
"FIFA Street","EA Canada","EA Sports Big","2005-02-22NA","✔JP, KO","✔","✔"
"FIFA Street 2","EA Canada","EA Sports Big","2006-02-28NA","✔JP, KO","✔","✔"
"FIFA Total Football","Electronic Arts","Electronic Arts Victor","2004-03-18JP","✔","",""
"FIFA Total Football 2","Electronic Arts","Electronic Arts Victor","2004-12-09JP","✔","",""
"FIFA World Cup: Germany 2006","EA Canada","EA Sports","2006-04-24NA","✔","✔","✔"
"Fight Club","Genuine Games","VU GamesNA, Sierra EntertainmentEU","2004-11-16NA","","✔","✔"
"Fight Night 2004","Genuine Games","EA Sports","2004-04-05NA","✔","✔","✔"
"Fight Night Round 2","EA Sports","EA Sports","2005-02-28NA","✔","✔","✔"
"Fight Night Round 3","EA Chicago","EA Sports","2006-02-20NA","✔","✔","✔"
"FightBox","Gamezlab","Gamezlab","2004-02-06EU","","✔",""
"Fighter Maker 2","Enterbrain","Agetec","2002-11-12NA","✔","","✔"
"Fighting Angels•Simple 2000 Series Vol. 55: The Catfight: Joneko DensetsuEU","Tamsoft","D3PublisherJP, 505 Game StreetEU","2004-06-24JP","✔","✔",""
"Fighting for One Piece","Bandai","Bandai","2005-09-08JP","✔","",""
"Fighting Fury•Grappler Baki: Baki Saidai no TournamentJP","Tomy","TomyJP, Midas Interactive EntertainmentEU","2000-10-12JP","✔","✔",""
"Final Approach","PrincessSoft","PrincessSoft","2004-10-07JP","✔","",""
"Final Approach 2: 1st Priority","PrincessSoft","PrincessSoft","2008-02-28JP","✔","",""
"Final Armada","I-Imagine","Virgin Play","2007-08-17EU","","✔",""
"Final Fantasy X","SquareSoft","SquareSoft","2001-07-19JP","✔JP, KO","✔","✔"
"Final Fantasy X-2","SquareSoft","SquareSoftAS, JP, Square EnixKO, NA, Electronic ArtsPAL","2003-03-13JP","✔AS, JP, KO","✔","✔"
"Final Fantasy X-2: International + Last Mission","Square Enix","Square Enix","2004-02-19JP","✔","",""
"Final Fantasy XI","Square Enix","SquareSoftJP, Sony Computer EntertainmentNA","2002-05-16JP","✔","","✔"
"Final Fantasy XI: Chains of Promathia (Expansion)•Final Fantasy XI: Promathia no JubakuJP","Square Enix","Square Enix","2004-09-16JP","✔","","✔"
"Final Fantasy XI: Rise of the Zilart (Expansion)•Final Fantasy XI: Zilart no GeneiJP•Final Fantasy XI: All-in-One Pack 2003JP","Square Enix","Square Enix","2003-04-17JP","✔","",""
"Final Fantasy XI: Seekers of Adoulin (Expansion)•Final Fantasy XI: Adoulin no MakyouJP","Square Enix","Square Enix","2013-03-27JP","✔","",""
"Final Fantasy XI: Treasures of Aht Urhgan (Expansion)•Final Fantasy XI: Aht Urhgan no HihouJP•Final Fantasy XI: All-In-One Pack 2006JP","Square Enix","Square Enix","2006-04-18NA","✔","","✔"
"Final Fantasy XI: Wings of the Goddess (Expansion)•Final Fantasy XI: Altana no ShinpeiJP","Square Enix","Square Enix","2007-11-20NA","✔","","✔"
"Final Fantasy XII","Square Enix","Square Enix","2006-03-14AS","✔AS, JP, KO","✔","✔"
"Final Fantasy XII International Zodiac Job System","Square Enix","Square Enix","2007-08-07AS","✔AS, JP, KO","",""
"Final Fight: Streetwise","Capcom Production Studio 8","Capcom","2006-02-28NA","","✔","✔"
"Finalist","PrincessSoft","PrincessSoft","2006-01-26JP","✔","",""
"Finkles World","Phoenix Games","Phoenix Games","2005EU","","✔",""
"Finny The Fish & The Seven Waters•Uo-7-tsu no Mizu to Densetsu no NushiJP","Sony Computer Entertainment","Sony Computer EntertainmentJP, Natsume Inc.NA","2004-07-15JP","✔","","✔"
"Fire Blade","Kuju Entertainment","Midway Games","2002-06-16NA","","✔","✔"
"Fire Heroes•Hard LuckJP","Spike","SpikeJP, 505 Game StreetEU","2004-10-28JP","✔","✔",""
"Fire Pro Wrestling Returns•Fi-Pro ReturnsJP","S-Neo","SpikeJP, AgetecNA, 505 Game StreetEU","2005-09-15JP","✔","✔","✔"
"Fire Pro Wrestling Z","Spike","Spike","2003-06-05JP","✔","",""
"Firefighter F.D. 18","Konami","Konami","2004-02-26JP","✔","✔","✔"
"First Kiss * Monogatari I & II","M2","Broccoli","2003-07-17JP","✔","",""
"Fisherman's Bass Club•Simple 2000 Series Vol. 3: The Bass FishingJP•Bass Master FishingEU","Vingt-eu-un Systems","D3 PublisherJP, Agetec Inc.EU, NA","2002-03-28JP","✔","✔","✔"
"Fisherman's Challenge","Konami","Konami","2003-01-19NA","","✔","✔"
"Fishing Fantasy: BuzzRod•Buzz Rod: Fishing FantasyJP","Starfish SD","Starfish SDJP, 505 Game StreetEU","2005-01-06JP","✔","✔",""
"Fitness Fun•Simple 2000 Ultimate Series Vol. 18: Love * AerobieJP","Tamsoft","D3 PublisherJP, 505 Game StreetEU","2004-02-26JP","✔","✔",""
"Flame of Recca: Final Burning•Recca no Honoo: Final BurningJP","KCEJ","Konami","2004-06-10JP","✔","",""
"FlatOut•Racing Game: Chuui!!!!JP","Bugbear Entertainment","Empire InteractiveEU, NA, KonamiJP","2004-11-05EU","✔","✔","✔"
"FlatOut 2•FlatOut 2 GTRJP","Bugbear Entertainment","Empire InteractiveEU, KO, NA, KonamiJP","2006-06-30EU","✔","✔","✔"
"The Flintstones in Viva Rock Vegas","Toka","Swing! Deutschland","2001-07-06EU","","✔",""
"The Flintstones: Bedrock Racing","Coyote Console, Beyond Reality","Blast! Entertainment Ltd","2007-10-02EU","","✔",""
"Flipnic: Ultimate Pinball•FlipnicJP","Sony Computer Entertainment","Sony Computer EntertainmentJP, UbisoftEU, CapcomNA","2005-07-13NA","✔","✔","✔"
"Flow: Urban Dance Uprising","Artificial Mind and Movement","Ubisoft","2005-11-15EU, NA","","✔","✔"
"Flower, Sun, and Rain•Hana to Taiyō to Ame toJP","Grasshopper Manufacture","Victor Interactive","2001-05-02JP","✔","",""
"Football Generation","Trecision","Midas Interactive Entertainment","2006-11-10EU","","✔",""
"Football Kingdom: Trial Edition","Namco","Namco","2004-05-27JP","✔","",""
"For Symphony: With All One's Heart","Takuyo","Takuyo","2005-05-26JP","✔","",""
"Ford Bold Moves Street Racing•Ford Street RacingEU•Ford Street Racing XR EditionAU","Razorworks","XplosivPAL, Eidos InteractiveNA","2006-02-24EU","","✔","✔"
"Ford Mustang: The Legend Lives","Eutechnyx","2K Games","2005-04-19NA","","✔","✔"
"Ford Racing 2","Razorworks","Gotham GamesNA, Empire InteractiveEU","2003-10-28NA","","✔","✔"
"Ford Racing 3","Razorworks","Empire InteractiveEU, 2K GamesNA","2004-10-29EU","","✔","✔"
"Ford Racing: Off Road•Off RoadEU","Razorworks","XplosivEU, Empire InteractiveNA","2008-03-20EU","","✔","✔"
"Ford vs. Chevy","Eutechnyx","Global Star Software","2005-11-09NA","","✔","✔"
"Forever Kingdom•Evergrace IIJP","FromSoftware","FromSoftwareJP, Agetec Inc.NA","2001-06-21JP","✔","","✔"
"Forgotten Realms: Demon Stone","Stormfront Studios","Atari","2004-09-14NA","✔JP, KO","✔","✔"
"Formation Final•Soccer Kantoku Saihai Simulation: Formation FinalJP","Konami","Konami","2003-09-18JP","✔","",""
"Formula One 04","Studio Liverpool","Sony Computer Entertainment","2004-06-30EU","✔","✔",""
"Formula One 05•Formula One 2005EU","Studio Liverpool","Sony Computer Entertainment","2005-07-01EU","✔","✔",""
"Formula One 06","Studio Liverpool","Sony Computer Entertainment","2006-07-28EU","✔","✔",""
"Formula One 2001","Studio Liverpool","Sony Computer Entertainment","2001-04-20EU","✔","✔","✔"
"Formula One 2002","Studio Liverpool","Sony Computer Entertainment","2002-11-01EU","✔","✔",""
"Formula One 2003","Studio Liverpool","Sony Computer Entertainment","2003-07-11EU","","✔",""
"Formula Challenge","Aqua Pacific","Oxygen Games","2004-06-25EU","","✔",""
"Forty 4 Party•Simple 2000 Series Vol. 2: The Party GameJP","HuneX","D3 PublisherJP, 505 Game StreetEU","2001-11-08JP","✔","✔",""
"Fragments Blue","SilverBullet","Kadokawa Games","2006-01-19JP","✔","",""
"Fragrance Tale","Takuyo","Takuyo","2005-04-28JP","✔","",""
"Frank Herbert's Dune","WideScreen Games","Cryo Interactive","2001-11-14EU","","✔",""
"Frankie Dettori Racing•Melbourne Cup ChallengeAU","Sidhe","Tru Blu Entertainment","2006-10-26AU","","✔",""
"Franklin: A Birthday Surprise","Neko Entertainment","The Game Factory","2006-03-31EU","","✔","✔"
"Freak Out: Extreme Freeride","Coldwood Interactive","JoWooD Entertainment","2007-03-30EU","","✔",""
"Freaky Flyers","Midway Games","Midway Games","2003-08-05NA","","✔","✔"
"Free Running","Rebellion Developments","UbisoftAU, Reef EntertainmentEU","2007-04-05AU","","✔",""
"Freedom Fighters","IO Interactive","Electronic Arts","2003-09-26EU","✔","✔","✔"
"Freekstyle","Page 44 Studios","EA Sports Big","2002-06-17NA","✔","✔","✔"
"Freestyle MetalX","Deibus Studios","Midway Games","2003-06-27NA","","✔","✔"
"Frequency","Harmonix Music Systems","Sony Computer Entertainment","2001-11-19NA","","✔","✔"
"Friends: The One with All the Trivia","Artech Studios","Warner Bros. Interactive Entertainment","2005-11-15NA","","✔","✔"
"Friends: Seishun no Kagayaki","F&C","NEC Interchannel","2004-09-30JP","✔","",""
"Frogger: Ancient Shadow","Hudson Soft","Konami","2005-09-27NA","","","✔"
"Frogger Beyond•FroggerJP","Konami","Konami","2003-06-26JP","✔","✔",""
"Frogger: The Great Quest","Konami","Konami","2001-11-18NA","","✔","✔"
"Frogger's Adventures: The Rescue•Frogger RescueJP","Konami","Konami","2003-10-29NA","✔","","✔"
"From Russia with Love•007: Russia Yori Ai OkometeJP","EA Redwood Shores","Electronic Arts","2005-11-01NA","✔","✔","✔"
"Front Mission 4","Square Enix","Square Enix","2003-12-18JP","✔","","✔"
"Front Mission 5: Scars of the War","Square Enix","Square Enix","2005-12-29JP","✔","",""
"Front Mission Online","Square Enix","Square Enix","2005-05-12JP","✔","",""
"Fruit Machine Mania","Liquid Games","OG International Ltd","2006-05-12EU","","✔",""
"Fruitfall","Phoenix Games","Phoenix Games","2007EU","","✔",""
"Fugitive Hunter: War on Terror","Black Ops Entertainment","Encore SoftwareNA, Play It!EU","2003-11-18NA","","✔","✔"
"Fukakutei Sekai no Tantei Shinshi: Akugyou Futaasa no Jiken File","Abel Software","Abel Software","2009-01-29JP","✔","",""
"Full House Kiss","Tenky","Capcom","2004-07-22JP","✔","",""
"Full House Kiss 2","Tenky","Capcom","2006-02-23JP","✔","",""
"Full Spectrum Warrior","Pandemic Studios","THQEU, KO, NA, SegaJP","2005-03-28NA","✔JP, KO","✔","✔"
"Full Spectrum Warrior: Ten Hammers•Full Spectrum Warrior 2: Ten HammersJP","Pandemic Studios","THQEU, KO, NA, SegaJP","2006-03-28NA","✔JP, KO","✔","✔"
"Fullmetal Alchemist 2: Curse of the Crimson Elixir•Hagane no Renkinjutsushi 2: Akaki Elixir no AkumaJP","Racjin","Square Enix","2004-09-22JP","✔","","✔"
"Fullmetal Alchemist 3: The Girl who Succeeds God•Hagane no Renkinjutsushi 3: Kami o Tsugu ShoujoJP","Racjin","Square Enix","2005-07-21JP","✔","",""
"Fullmetal Alchemist and the Broken Angel•Hagane no Renkinjutsushi: Tobenai TenshiJP","Racjin","Square Enix","2003-12-25JP","✔","","✔"
"Fullmetal Alchemist: Dream Carnival•Hagane no Renkinjutsushi: Dream CarnivalJP","Eighting","Bandai","2004-08-26JP","✔","",""
"Fur Fighters: Viggo's Revenge","Bizarre Creations","Acclaim Entertainment","2001-06-03NA","","✔","✔"
"Furasera: Hurrah! Sailor","Datam Polystar","Datam Polystar","2004-02-26JP","✔","",""
"Furry Tales","Mad Monkey","Phoenix Games","2004-10-22EU","","✔",""
"Fushigi no Kuni no Alice","Global A","Global A","2003-06-12JP","✔","",""
"Fushigi no Umi no Nadia: Inherit the Blue Water","Jinx","Jinx","2005-09-22JP","✔","",""
"Fushigi Yuugi: Genbu Kaiten Gaiden - Kagami no Miko","Idea Factory","Idea Factory","2005-06-23JP","✔","",""
"Fushigi Yuugi: Suzaku Ibun","Idea Factory","Idea Factory","2008-05-29JP","✔","",""
"Futakoi","Alpha Unit","MediaWorks","2004-12-09JP","✔","",""
"Futakoi Alternative","Marvelous Entertainment","Marvelous Entertainment","2005-06-23JP","✔","",""
"Futakoi: Koi to Mizugi no Survival","Alpha Unit","MediaWorks","2005-08-25JP","✔","",""
"Futari no Fantavision","SCEJ","SCEJ","2002-07-04JP","✔","",""
"Futurama","Unique Development Studios","SCi GamesEU, Vivendi Universal GamesNA","2003-08-01EU","","✔","✔"
"Future Tactics: The Uprising","Zed Two","JoWood Entertainment","2004-05-10NA","","✔","✔"
"Fuun Bakumatsuden","Genki","Genki","2005-01-20JP","✔","",""
"Fuuraiki","FOG Inc.","FOG Inc.","2006-09-28JP","✔","",""
"Fuuraiki 2","FOG Inc.","FOG Inc.","2005-11-10JP","✔","",""
"Fuuun Shinsengumi","Genki","Konami","2004-01-22JP","✔JP, KO","",""
"Fuuun Super Combo","SNK Playmore","SNK Playmore","2007-06-21JP","✔","",""
"G-Force (2006)","Mere Mortals","Phoenix Games","2006-10-06EU","","✔"
"G-Force","Eurocom","Disney Interactive Studios","2009-07-21NA","","✔","✔"
"G-Saviour","Atelier-Sai","Sunrise Interactive","2000-09-14JP","✔","",""
"G-Taste Mahjong","Psikyo","X-Nauts","2003-04-24JP","✔","",""
"G.I. Joe: The Rise of Cobra","Double Helix Games","Electronic Arts","2009-08-04AU, NA","","✔","✔"
"G1 Jockey•G1 Jockey 2 2001JP","Koei/Inis","KoeiJP, THQEU","2001-03-22JP","✔","✔",""
"G1 Jockey 2","Koei/Inis","KoeiJP","2000-11-02JP","✔","",""
"G1 Jockey 3•G1 Jockey 3 + Winning Post 5 Maximum 2002JP","Koei/Inis","KoeiJP, NA, THQEU","2002-12-21JP","✔","✔","✔"
"G1 Jockey 3 2003","Koei/Inis","Koei","2003-10-30JP","✔","",""
"G1 Jockey 3 2005 Nendoban","Koei","Koei","2005-02-24JP","✔","",""
"G1 Jockey 4•G1 Jockey 4 + Winning Post 7 Twin PackJP","Koei","Koei","2005-12-22JP","✔","✔",""
"G1 Jockey 4 2006","Koei","Koei","2006-09-14JP","✔","",""
"G1 Jockey 4 2007","Koei","Koei","2007-11-01JP","✔","",""
"G1 Jockey 4 2008","Koei","Koei","2008-09-18JP","✔","",""
"Gacharoku","Agenda","Sony Computer Entertainment","2002-12-05JP","✔","",""
"Gacharoku 2: Kondo wa Sekai Isshuu yo!!","Agenda","Sony Computer Entertainment","2003-12-18JP","✔","",""
"Gachinko Pro Yakyuu","Now Production","Now Production","2003-08-07JP","✔","",""
"Gadget & the Gadgetinis","EKO Software","Hip Games","2004-11-05EU","","✔",""
"Gadget Racers•Choro Q HGJP•Penny RacersPAL","Barnhouse Effect","TakaraJP, Conspiracy EntertainmentNA, Midas Interactive EntertainmentPAL","2000-12-21JP","✔","✔","✔"
"Gadget Racers•Choro Q HG 3JP","Takara","TakaraJP, Zoo Digital PublishingPAL","2002-12-12JP","✔","✔",""
"Gaelic Games: Football","IR Gurus","Sony Computer Entertainment","2005-11-11IE","","✔",""
"Gaelic Games: Football 2","IR Gurus","Sony Computer Entertainment","2007-08-17IE","","✔",""
"Gaelic Games: Hurling","IR Gurus","Sony Computer Entertainment","2007-11-30IE","","✔",""
"Gaika no Gouhou: Air Land Force","Koei","Koei","2003-08-28JP","✔","",""
"Gakkou o Tsukurou!! Happy Days","Marvelous Entertainment","Marvelous Entertainment","2005-03-24JP","✔","",""
"Gakuen Alice: KiraKira Memory Kiss","Kids Station","Kids Station","2006-06-22JP","✔","",""
"Gakuen Heaven: Boy's Love Scramble!","Spray","NEC Interchannel","2003-11-27JP","✔","",""
"Gakuen Heaven: Boy's Love Scramble: Type B","Spray","NEC Interchannel","2004-07-22JP","✔","",""
"Gakuen Heaven: Okawari! Boy's Love Attack!","Spray","Interchannel","2005-02-24JP","✔","",""
"Gakuen Toshi Vara Noir","Idea Factory","Idea Factory","2002-10-31JP","✔","",""
"Gakuen Utopia: Manabi Straight! KiraKira Happy Festa!","Marvelous Entertainment","Marvelous Entertainment","2007-03-29JP","✔","",""
"Galactic Wrestling: Featuring Ultimate Muscle•Kinnikuman GenerationsJP","AKI Corp.","Bandai","2004-04-22JP","✔","","✔"
"Galaxy Angel","Broccoli","Broccoli","2003-04-17JP","✔","",""
"Galaxy Angel II: Eigou Kaiki no Koku","Broccoli","Broccoli","2009-03-12JP","✔","",""
"Galaxy Angel II: Mugen Kairou no Kagi","Broccoli","Broccoli","2007-10-18JP","✔","",""
"Galaxy Angel II: Zettairyouiki no Tobira","Broccoli","Broccoli","2006-06-22JP","✔","",""
"Galaxy Angel: Eternal Lovers","Broccoli","Broccoli","2005-02-24JP","✔","",""
"Galaxy Angel: Moonlit Lovers","Broccoli","Broccoli","2004-02-26JP","✔","",""
"Galerians: Ash","Polygon Magic","EnterbrainJP, |Sammy StudiosNA, PAL","2002-04-25JP","✔","✔","✔"
"Gallop Racer 2001•Gallop Racer 5JP","Tecmo","Tecmo","2001-03-29JP","✔","","✔"
"Gallop Racer 2003: A New Breed•Gallop Racer 6: RevolutionJP•At the Races Presents Gallop RacerPAL","Tecmo","TecmoJP, NA, Zoo Digital PublishingPAL","2002-12-12JP","✔","✔","✔"
"Gallop Racer 2004•Gallop Racer Lucky 7JP•Gallop Racer 2PAL","Tecmo","TecmoJP, NA, Zoo Digital PublishingPAL","2004-02-19JP","✔","✔","✔"
"Gallop Racer 2006•Gallop Racer 8: Live Horse RacingJP","Tecmo","Tecmo","2005-12-15JP","✔","","✔"
"Gallop Racer Inbreed","Tecmo","Tecmo","2006-11-02JP","✔","",""
"Gambler Densetsu Tetsuya","Athena","Athena","2001-06-21JP","✔","",""
"Gambler Densetsu Tetsuya Digest","Athena","Athena","2004-05-27JP","✔","",""
"Gambler Densetsu Tetsuya: Kurouto Choujou Kessen","Athena","Athena","2003-07-03JP","✔","",""
"Game Center USA: Midway Arcade Treasures","Success","Success","2006-09-21JP","✔","",""
"Game ni Nattayo! Dokuro-chan","Idea Factory","Idea Factory","2005-11-10JP","✔","",""
"Game Select 5 Wa","Yuki","Yuki","2000-09-28JP","✔","",""
"Game Select 5 You","Yuki","Yuki","2001-01-25JP","✔","",""
"Games Galaxy 2","Phoenix Games","Phoenix Games","2006EU","","✔",""
"Gantz: The Game","Konami","Konami","2005-03-17JP","✔","",""
"Garfield","The Code Monkeys","Hip Games","2004-11-19EU","","✔",""
"Garfield: A Tale of Two Kitties•Garfield 2PAL","Asobo Studio","The Game Factory","2006-10-06EU","","✔","✔"
"Garfield: Lasagna World Tour","EKO Software","Blast! Entertainment LtdEU, Conspiracy EntertainmentNA","2007-11-30EU","","✔","✔"
"Garfield: Saving Arlene•Garfield: Arleene o Sukue!JP","EKO Software","Titus Japan KKJP, Hip GamesEU","2006-04-27JP","✔","✔",""
"Garou: Mark of the Wolves","SNK Playmore","SNK Playmore","2005-06-30JP","✔","",""
"Garouden Breakblow","Opus","ESP Software","2005-11-17JP","✔","",""
"Garouden Breakblow: Fist or Twist","Opus","ESP Software","2007-03-15JP","✔","",""
"Gauntlet: Dark Legacy","Midway Games West","Midway Games","2001-05-01NA","✔","✔","✔"
"Gauntlet: Seven Sorrows","Midway Games","Midway Games","2005-12-12NA","","✔","✔"
"Gecko Blaster","Phoenix Games","Phoenix Games","2007-12-01EU","","✔",""
"Gegege no Kitarou: Ibun Youkai Kitan","WinkySoft","Konami","2003-12-11JP","✔","",""
"The Gekai•Simple 2000 Series Vol. 58: The GekaiJP","Vingt-et-un Systems","D3 Publisher","2004-09-02JP","✔","",""
"Gekikuukan Pro Yakyuu: At the End of the Century 1999","SquareSoft","SquareSoft","2000-09-07JP","✔","",""
"Gekitou Pro Yakyuu","Wow Entertainment","Sega","2003-09-11JP","✔","",""
"Gendai Daisenryaku: Isshoku Sokuhatsu - Gunji Balance Houkai","SystemSoft","SystemSoft","2009-08-27JP","✔","",""
"Gene Troopers","Caludron Ltd.","Playlogic","2006-12-25NA","","✔","✔"
"Generation of Chaos","Idea Factory","Idea Factory","2001-08-09JP","✔","",""
"Generation of Chaos III: Toki no Fuuin","Idea Factory","Idea Factory","2003-05-08JP","✔","",""
"Generation of Chaos IV•Shinten Makai: Generation of Chaos IVJP","Idea Factory","Idea Factory","2004-04-22JP","✔","",""
"Generation of Chaos Desire","Idea Factory","Idea Factory","2007-09-27JP","✔","",""
"Generation of Chaos Next","Idea Factory","Idea Factory","2002-04-25JP","✔","",""
"Genji: Dawn of the Samurai•GenjiAS, JP, KO, PAL","Game Republic","Sony Computer Entertainment","2005-06-28AS","✔AS, JP, KO","✔","✔"
"Genshi no Kotoba","Sony Computer Entertainment","Sony Computer Entertainment","2001-10-18JP","✔","",""
"Georama Sensen Ijou Nashi: Stalingrad e no Michi","Marionette","Marionette","2005-06-23JP","✔","",""
"George of the Jungle and the Search for the Secret•George of the JungleEU","Crave Entertainment","Crave EntertainmentNA, Ignition EntertainmentEU","2008-03-18NA","","✔","✔"
"Germany's Next Topmodel 2009","SevenOne Intermedia","SevenOne Intermedia","2009-05-21EU","","✔",""
"Get On Da Mic","A2M","Eidos Interactive","2004-10-05NA","","✔","✔"
"Get Ride! AMDriver: Soukoku no Shinjitsu","WinkySoft","Konami","2005-03-24JP","✔","",""
"The Getaway","Team Soho","Sony Computer Entertainment","2002-12-11PAL","✔JP, KO","✔","✔"
"The Getaway: Black Monday","London Studio","Sony Computer Entertainment","2004-11-12PAL","✔","✔","✔"
"GetBackers Dakkanya: Dakkandayo! Zenin Shuugou!!","Konami","Konami","2003-01-16JP","✔","",""
"GetBackers Dakkanya: Ubawareta Mugenjou","Konami","Konami","2002-09-26JP","✔","",""
