platform;slug;name;released;background_image;genre
Xbox One;warhammer-40000-inquisitor-prophecy;Warhammer 40,000: Inquisitor - Prophecy;30/07/2019;https://media.rawg.io/media/screenshots/aa6/aa64658186c0d0fec38f835d08a23242.jpg;Indie, Adventure, Action, RPG
PlayStation 4;warhammer-40000-inquisitor-prophecy;Warhammer 40,000: Inquisitor - Prophecy;30/07/2019;https://media.rawg.io/media/screenshots/aa6/aa64658186c0d0fec38f835d08a23242.jpg;Indie, Adventure, Action, RPG
PC;warhammer-40000-mechanicus;Warhammer 40,000: Mechanicus;15/11/2018;https://media.rawg.io/media/games/511/511659166b4ecf074d77ff129ac41731.jpg;Strategy
Xbox One;warhammer-40000-mechanicus;Warhammer 40,000: Mechanicus;15/11/2018;https://media.rawg.io/media/games/511/511659166b4ecf074d77ff129ac41731.jpg;Strategy
PlayStation 4;warhammer-40000-mechanicus;Warhammer 40,000: Mechanicus;15/11/2018;https://media.rawg.io/media/games/511/511659166b4ecf074d77ff129ac41731.jpg;Strategy
Nintendo Switch;warhammer-40000-mechanicus;Warhammer 40,000: Mechanicus;15/11/2018;https://media.rawg.io/media/games/511/511659166b4ecf074d77ff129ac41731.jpg;Strategy
PC;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
PlayStation 5;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
Xbox One;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
PlayStation 4;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
Xbox Series S/X;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
Nintendo Switch;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
macOS;warhammer-40000-shootas-blood-teef;Warhammer 40,000: Shootas, Blood & Teef;20/10/2022;https://media.rawg.io/media/games/6cd/6cdf8c1ddb39bd615099bf19f29f961c.jpg;Adventure, Action
PC;warhammer-40000-space-marine;Warhammer 40,000: Space Marine;05/09/2011;https://media.rawg.io/media/games/ac2/ac25b5cef220bf5b8d052e0978451cab.jpg;Shooter, Action
Xbox 360;warhammer-40000-space-marine;Warhammer 40,000: Space Marine;05/09/2011;https://media.rawg.io/media/games/ac2/ac25b5cef220bf5b8d052e0978451cab.jpg;Shooter, Action
PlayStation 3;warhammer-40000-space-marine;Warhammer 40,000: Space Marine;05/09/2011;https://media.rawg.io/media/games/ac2/ac25b5cef220bf5b8d052e0978451cab.jpg;Shooter, Action
PC;warhammer-40000-space-marine-ii;Warhammer 40,000: Space Marine II;09/09/2024;https://media.rawg.io/media/games/950/950f4eae6dc907d7f534d5dcce454487.jpg;Action
PlayStation 5;warhammer-40000-space-marine-ii;Warhammer 40,000: Space Marine II;09/09/2024;https://media.rawg.io/media/games/950/950f4eae6dc907d7f534d5dcce454487.jpg;Action
