platform;slug;name;released;background_image;genre
Nintendo Switch;dragon-ball-fighterz;DRAGON BALL FighterZ;2018-01-25;https://media.rawg.io/media/games/96b/96b9420bbd4bd1b79bf2a67f7779733a.jpg;Action, Fighting
PC;capcom-arcade-stadium;Capcom Arcade Stadium;2021-02-17;https://media.rawg.io/media/games/2a5/2a5072e5b28e1653a10e4f931f1991af.jpg;Arcade, Action
Xbox One;capcom-arcade-stadium;Capcom Arcade Stadium;2021-02-17;https://media.rawg.io/media/games/2a5/2a5072e5b28e1653a10e4f931f1991af.jpg;Arcade, Action
PlayStation 4;capcom-arcade-stadium;Capcom Arcade Stadium;2021-02-17;https://media.rawg.io/media/games/2a5/2a5072e5b28e1653a10e4f931f1991af.jpg;Arcade, Action
Nintendo Switch;capcom-arcade-stadium;Capcom Arcade Stadium;2021-02-17;https://media.rawg.io/media/games/2a5/2a5072e5b28e1653a10e4f931f1991af.jpg;Arcade, Action
PC;planet-coaster;Planet Coaster;2016-11-17;https://media.rawg.io/media/games/aea/aea1581227fa10cbc006a6594845a01e.jpg;Strategy, Simulation
PlayStation 5;planet-coaster;Planet Coaster;2016-11-17;https://media.rawg.io/media/games/aea/aea1581227fa10cbc006a6594845a01e.jpg;Strategy, Simulation
Xbox One;planet-coaster;Planet Coaster;2016-11-17;https://media.rawg.io/media/games/aea/aea1581227fa10cbc006a6594845a01e.jpg;Strategy, Simulation
PlayStation 4;planet-coaster;Planet Coaster;2016-11-17;https://media.rawg.io/media/games/aea/aea1581227fa10cbc006a6594845a01e.jpg;Strategy, Simulation
Xbox Series S/X;planet-coaster;Planet Coaster;2016-11-17;https://media.rawg.io/media/games/aea/aea1581227fa10cbc006a6594845a01e.jpg;Strategy, Simulation
PC;kingdom-hearts-iii;Kingdom Hearts III;2019-01-25;https://media.rawg.io/media/games/968/968e6210715fd61237139e3caa193be0.jpg;Action, RPG
Xbox One;kingdom-hearts-iii;Kingdom Hearts III;2019-01-25;https://media.rawg.io/media/games/968/968e6210715fd61237139e3caa193be0.jpg;Action, RPG
PlayStation 4;kingdom-hearts-iii;Kingdom Hearts III;2019-01-25;https://media.rawg.io/media/games/968/968e6210715fd61237139e3caa193be0.jpg;Action, RPG
PC;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
Xbox One;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
PlayStation 4;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
Nintendo Switch;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
iOS;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
Android;portal-knights;Portal Knights;2016-02-25;https://media.rawg.io/media/screenshots/999/9996d2692128d717880d2be9f9351765.jpg;Adventure, Action, RPG
PC;fishing-planet;Fishing Planet;2015-08-11;https://media.rawg.io/media/screenshots/28b/28bec9939d190ba619cad0693ebe304d.jpg;Massively Multiplayer, Simulation, Sports
PlayStation 4;fishing-planet;Fishing Planet;2015-08-11;https://media.rawg.io/media/screenshots/28b/28bec9939d190ba619cad0693ebe304d.jpg;Massively Multiplayer, Simulation, Sports
iOS;fishing-planet;Fishing Planet;2015-08-11;https://media.rawg.io/media/screenshots/28b/28bec9939d190ba619cad0693ebe304d.jpg;Massively Multiplayer, Simulation, Sports
